order,i,indrep,avg,author_last,finit_1,finit_2,finit_abv,co_author,sinit_1,sinit_2,sinit_abv,journal,journal_isi,year_pub,study,study_num,subject,latitude,longitude,habitat,loc,trt_taxa,rsp_taxa,trt_taxa_less,rsp_taxa_less,sp1_taxname,sp1_type,sp2_taxname,sp2_type,data_from,data_type,data_var,type_cond,thirdparty_type,condition,duration_d,sep_con,exp_x,exp_n,exp_se,exp_sd,con_x,con_n,con_se,con_sd,data_coll,exclude
1005,8,iiiiiiii,921,Milstead,bryan,,b,Threlkeld,stephen,t,st,Journal of the North American Benthological Society,j_n_am_benthol_soc,1986,MiTh86Jo,286,p,34.2,-96.6,le,outdoor_tanks,ai,ai,i,i,Hyalella azteca,amphipoda,Etheostoma spectabile,darter,figure 4a,fecundity,percent gravid females,temporal,na,38520,71,1,15.1583,2,5.4754,7.743384939,11.9083,2,1.4226,2.011860214,yosuke,0
1006,8,iiiiiiii,921,Milstead,bryan,,b,Threlkeld,stephen,t,st,Journal of the North American Benthological Society,j_n_am_benthol_soc,1986,MiTh86Jo,286,p,34.2,-96.6,le,outdoor_tanks,ai,ai,i,i,Hyalella azteca,amphipoda,Etheostoma spectabile,darter,figure 4b,fecundity,eggs/female,temporal,na,38520,71,1,0.193488,2,0.07814,0.110506648,0.115349,2,0.026046,0.036834606,yosuke,0
1007,8,iiiiiiii,921,Milstead,bryan,,b,Threlkeld,stephen,t,st,Journal of the North American Benthological Society,j_n_am_benthol_soc,1986,MiTh86Jo,286,p,34.2,-96.6,le,outdoor_tanks,ai,ai,i,i,Hyalella azteca,amphipoda,Etheostoma spectabile,darter,figure 4c,fecundity,eggs/square meters,temporal,na,38520,71,1,412.035,2,56.603,80.04873027,195.058,2,56.602,80.04731606,yosuke,0
1008,8,iiiiiiii,922,Milstead,bryan,,b,Threlkeld,stephen,t,st,Journal of the North American Benthological Society,j_n_am_benthol_soc,1986,MiTh86Jo,286,p,34.2,-96.6,le,outdoor_tanks,ai,ai,i,i,Hyalella azteca,amphipoda,Etheostoma spectabile,darter,figure 1,biomass,mean head length (mm),temporal,na,38530,71,1,0.250901,2,0.006524,0.009226329,0.225494,2,0.002746,0.00388343,yosuke,0
1009,8,iiiiiiii,922,Milstead,bryan,,b,Threlkeld,stephen,t,st,Journal of the North American Benthological Society,j_n_am_benthol_soc,1986,MiTh86Jo,286,p,34.2,-96.6,le,outdoor_tanks,ai,ai,i,i,Hyalella azteca,amphipoda,Etheostoma spectabile,darter,figure 4a,fecundity,percent gravid females,temporal,na,38530,71,1,0.850783,2,1.218237,1.722847288,9.38106,2,1.62564,2.299002136,yosuke,0
1010,8,iiiiiiii,922,Milstead,bryan,,b,Threlkeld,stephen,t,st,Journal of the North American Benthological Society,j_n_am_benthol_soc,1986,MiTh86Jo,286,p,34.2,-96.6,le,outdoor_tanks,ai,ai,i,i,Hyalella azteca,amphipoda,Etheostoma spectabile,darter,figure 4b,fecundity,eggs/female,temporal,na,38530,71,1,0.00372093,2,0.02604647,0.036835271,0.133953,2,0.03721,0.052622887,yosuke,0
1011,8,iiiiiiii,922,Milstead,bryan,,b,Threlkeld,stephen,t,st,Journal of the North American Benthological Society,j_n_am_benthol_soc,1986,MiTh86Jo,286,p,34.2,-96.6,le,outdoor_tanks,ai,ai,i,i,Hyalella azteca,amphipoda,Etheostoma spectabile,darter,figure 4c,fecundity,eggs/square meters,temporal,na,38530,71,1,13.2836,2,66.0366,93.38985533,192.491,2,94.165,133.1694201,yosuke,0
1012,8,iiiiiiii,923,Milstead,bryan,,b,Threlkeld,stephen,t,st,Journal of the North American Benthological Society,j_n_am_benthol_soc,1986,MiTh86Jo,286,p,34.2,-96.6,le,outdoor_tanks,ai,ai,i,i,Hyalella azteca,amphipoda,Etheostoma spectabile,darter,figure 1,biomass,mean head length (mm),temporal,na,38540,71,1,0.235451,2,0.002403,0.003398355,0.2303,2,0.003091,0.004371334,yosuke,0
1013,8,iiiiiiii,923,Milstead,bryan,,b,Threlkeld,stephen,t,st,Journal of the North American Benthological Society,j_n_am_benthol_soc,1986,MiTh86Jo,286,p,34.2,-96.6,le,outdoor_tanks,ai,ai,i,i,Hyalella azteca,amphipoda,Etheostoma spectabile,darter,figure 4a,fecundity,percent gravid females,temporal,na,38540,71,1,3.19118,2,4.87293,6.891363694,3.40214,2,1.62431,2.297121231,yosuke,0
1014,8,iiiiiiii,923,Milstead,bryan,,b,Threlkeld,stephen,t,st,Journal of the North American Benthological Society,j_n_am_benthol_soc,1986,MiTh86Jo,286,p,34.2,-96.6,le,outdoor_tanks,ai,ai,i,i,Hyalella azteca,amphipoda,Etheostoma spectabile,darter,figure 4b,fecundity,eggs/female,temporal,na,38540,71,1,0.0446512,2,0.0260465,0.036835314,0.0409302,2,0.0706978,0.099981788,yosuke,0
1015,8,iiiiiiii,923,Milstead,bryan,,b,Threlkeld,stephen,t,st,Journal of the North American Benthological Society,j_n_am_benthol_soc,1986,MiTh86Jo,286,p,34.2,-96.6,le,outdoor_tanks,ai,ai,i,i,Hyalella azteca,amphipoda,Etheostoma spectabile,darter,figure 4c,fecundity,eggs/square meters,temporal,na,38540,71,1,39.0185,2,84.9735,120.1706761,38.9144,2,66.0366,93.38985533,yosuke,0
1016,8,iiiiiiii,924,Milstead,bryan,,b,Threlkeld,stephen,t,st,Journal of the North American Benthological Society,j_n_am_benthol_soc,1986,MiTh86Jo,286,p,34.2,-96.6,le,outdoor_tanks,ai,ai,i,i,Hyalella azteca,amphipoda,Etheostoma spectabile,darter,figure 1,biomass,mean head length (mm),temporal,na,38550,71,1,0.245751,2,0.004464,0.006313049,0.240944,2,0.003777,0.005341485,yosuke,0
1017,8,iiiiiiii,924,Milstead,bryan,,b,Threlkeld,stephen,t,st,Journal of the North American Benthological Society,j_n_am_benthol_soc,1986,MiTh86Jo,286,p,34.2,-96.6,le,outdoor_tanks,ai,ai,i,i,Hyalella azteca,amphipoda,Etheostoma spectabile,darter,figure 4a,fecundity,percent gravid females,temporal,na,38550,71,1,0.669203,2,1.422597,2.011855971,2.49655,2,3.86171,5.461282656,yosuke,0
1018,8,iiiiiiii,924,Milstead,bryan,,b,Threlkeld,stephen,t,st,Journal of the North American Benthological Society,j_n_am_benthol_soc,1986,MiTh86Jo,286,p,34.2,-96.6,le,outdoor_tanks,ai,ai,i,i,Hyalella azteca,amphipoda,Etheostoma spectabile,darter,figure 4b,fecundity,eggs/female,temporal,na,38550,71,1,0.0186047,2,0.0260465,0.036835314,0.0223256,2,0.0409302,0.057884044,yosuke,0
1019,8,iiiiiiii,924,Milstead,bryan,,b,Threlkeld,stephen,t,st,Journal of the North American Benthological Society,j_n_am_benthol_soc,1986,MiTh86Jo,286,p,34.2,-96.6,le,outdoor_tanks,ai,ai,i,i,Hyalella azteca,amphipoda,Etheostoma spectabile,darter,figure 4c,fecundity,eggs/square meters,temporal,na,38550,71,1,27.0875,2,94.3375,133.4133719,17.3762,2,84.8348,119.9745247,yosuke,0
1020,8,iiiiiiii,925,Milstead,bryan,,b,Threlkeld,stephen,t,st,Journal of the North American Benthological Society,j_n_am_benthol_soc,1986,MiTh86Jo,286,p,34.2,-96.6,le,outdoor_tanks,ai,ai,i,i,Hyalella azteca,amphipoda,Etheostoma spectabile,darter,figure 1,biomass,mean head length (mm),temporal,na,38560,71,1,0.265665,2,0.00618,0.00873984,0.257425,2,0.00515,0.0072832,yosuke,0
1021,8,iiiiiiii,925,Milstead,bryan,,b,Threlkeld,stephen,t,st,Journal of the North American Benthological Society,j_n_am_benthol_soc,1986,MiTh86Jo,286,p,34.2,-96.6,le,outdoor_tanks,ai,ai,i,i,Hyalella azteca,amphipoda,Etheostoma spectabile,darter,figure 4a,fecundity,percent gravid females,temporal,na,38560,71,1,4.43219,2,2.63423,3.725363792,8.29257,2,9.54683,13.50125646,yosuke,0
1022,8,iiiiiiii,925,Milstead,bryan,,b,Threlkeld,stephen,t,st,Journal of the North American Benthological Society,j_n_am_benthol_soc,1986,MiTh86Jo,286,p,34.2,-96.6,le,outdoor_tanks,ai,ai,i,i,Hyalella azteca,amphipoda,Etheostoma spectabile,darter,figure 4b,fecundity,eggs/female,temporal,na,38560,71,1,0.0818605,2,0.0409305,0.057884468,0.152558,2,0.163721,0.231536459,yosuke,0
1023,8,iiiiiiii,925,Milstead,bryan,,b,Threlkeld,stephen,t,st,Journal of the North American Benthological Society,j_n_am_benthol_soc,1986,MiTh86Jo,286,p,34.2,-96.6,le,outdoor_tanks,ai,ai,i,i,Hyalella azteca,amphipoda,Etheostoma spectabile,darter,figure 4c,fecundity,eggs/square meters,temporal,na,38560,71,1,184.722,2,47.169,66.70703952,118.651,2,132.1427,186.8779985,yosuke,0
1024,8,iiiiiiii,926,Milstead,bryan,,b,Threlkeld,stephen,t,st,Journal of the North American Benthological Society,j_n_am_benthol_soc,1986,MiTh86Jo,286,p,34.2,-96.6,le,outdoor_tanks,ai,ai,i,i,Hyalella azteca,amphipoda,Etheostoma spectabile,darter,figure 1,biomass,mean head length (mm),temporal,na,38570,71,1,0.284206,2,0.007897,0.011168045,0.275622,2,0.015794,0.022336089,yosuke,0
1025,8,iiiiiiii,926,Milstead,bryan,,b,Threlkeld,stephen,t,st,Journal of the North American Benthological Society,j_n_am_benthol_soc,1986,MiTh86Jo,286,p,34.2,-96.6,le,outdoor_tanks,ai,ai,i,i,Hyalella azteca,amphipoda,Etheostoma spectabile,darter,figure 4a,fecundity,percent gravid females,temporal,na,38570,71,1,13.4755,2,6.2903,8.895827571,20.3815,2,9.5481,13.50305251,yosuke,0
1026,8,iiiiiiii,926,Milstead,bryan,,b,Threlkeld,stephen,t,st,Journal of the North American Benthological Society,j_n_am_benthol_soc,1986,MiTh86Jo,286,p,34.2,-96.6,le,outdoor_tanks,ai,ai,i,i,Hyalella azteca,amphipoda,Etheostoma spectabile,darter,figure 4b,fecundity,eggs/female,temporal,na,38570,71,1,0.27907,2,0.167442,0.236798747,0.394419,2,0.100465,0.142078966,yosuke,0
1027,8,iiiiiiii,926,Milstead,bryan,,b,Threlkeld,stephen,t,st,Journal of the North American Benthological Society,j_n_am_benthol_soc,1986,MiTh86Jo,286,p,34.2,-96.6,le,outdoor_tanks,ai,ai,i,i,Hyalella azteca,amphipoda,Etheostoma spectabile,darter,figure 4c,fecundity,eggs/square meters,temporal,na,38570,71,1,748.149,2,56.603,80.04873027,729.281,2,75.505,106.780195,yosuke,0
1028,8,iiiiiiii,927,Milstead,bryan,,b,Threlkeld,stephen,t,st,Journal of the North American Benthological Society,j_n_am_benthol_soc,1986,MiTh86Jo,286,p,34.2,-96.6,le,outdoor_tanks,ai,ai,i,i,Hyalella azteca,amphipoda,Etheostoma spectabile,darter,figure 1,biomass,mean head length (mm),temporal,na,38580,71,1,0.280773,2,0.009614,0.013596249,0.280773,2,0.002746,0.00388343,yosuke,0
1029,8,iiiiiiii,927,Milstead,bryan,,b,Threlkeld,stephen,t,st,Journal of the North American Benthological Society,j_n_am_benthol_soc,1986,MiTh86Jo,286,p,34.2,-96.6,le,outdoor_tanks,ai,ai,i,i,Hyalella azteca,amphipoda,Etheostoma spectabile,darter,figure 4a,fecundity,percent gravid females,temporal,na,38580,71,1,14.3986,2,1.2182,1.722794962,22.5228,2,6.7042,9.481170565,yosuke,0
1030,8,iiiiiiii,927,Milstead,bryan,,b,Threlkeld,stephen,t,st,Journal of the North American Benthological Society,j_n_am_benthol_soc,1986,MiTh86Jo,286,p,34.2,-96.6,le,outdoor_tanks,ai,ai,i,i,Hyalella azteca,amphipoda,Etheostoma spectabile,darter,figure 4b,fecundity,eggs/female,temporal,na,38580,71,1,0.275349,2,0.018604,0.026310029,0.394419,2,0.16,0.22627417,yosuke,0
1031,8,iiiiiiii,927,Milstead,bryan,,b,Threlkeld,stephen,t,st,Journal of the North American Benthological Society,j_n_am_benthol_soc,1986,MiTh86Jo,286,p,34.2,-96.6,le,outdoor_tanks,ai,ai,i,i,Hyalella azteca,amphipoda,Etheostoma spectabile,darter,figure 4c,fecundity,eggs/square meters,temporal,na,38580,71,1,660.609,2,179.242,253.4864673,990.861,2,141.679,200.3643633,yosuke,0
1032,8,jjjjjjjj,930,Walde,sandra ,j,sj,Davies,ronald,w,rw,Ecology,ecology,1984,WaDa84Ec,462,p,51,-114,lo,field,ai,ai,i,i,Kogotus nonus,stonefly,Thienemaniella,Orthocladiinae,figure 3,abundance,density (no/container),temporal,na,28306,10,0,106.25,8,6.25,17.67766953,29.1667,8,6.25,17.67766953,yosuke,0
1033,8,jjjjjjjj,931,Walde,sandra ,j,sj,Davies,ronald,w,rw,Ecology,ecology,1984,WaDa84Ec,462,p,51,-114,lo,field,ai,ai,i,i,Kogotus nonus,stonefly,Thienemaniella,Orthocladiinae,figure 3,abundance,density (no/container),temporal,na,28671,10,0,145.833,8,8.334,23.57211166,104.167,8,8.333,23.56928323,yosuke,0
1034,8,jjjjjjjj,931,Walde,sandra ,j,sj,Davies,ronald,w,rw,Ecology,ecology,1984,WaDa84Ec,462,p,51,-114,lo,field,ai,ai,i,i,Kogotus nonus,stonefly,Thienemaniella,Orthocladiinae,figure 3,abundance,density (no/container),temporal,na,28671,10,0,145.833,8,8.334,23.57211166,54.1667,8,10.4166,29.46259399,yosuke,0
1035,8,jjjjjjjj,931,Walde,sandra ,j,sj,Davies,ronald,w,rw,Ecology,ecology,1984,WaDa84Ec,462,p,51,-114,lo,field,ai,ai,i,i,Kogotus nonus,stonefly,Thienemaniella,Orthocladiinae,figure 3,abundance,density (no/container),temporal,na,28671,10,0,145.833,8,8.334,23.57211166,43.75,8,10.4167,29.46287683,yosuke,0
1036,8,jjjjjjjj,932,Walde,sandra ,j,sj,Davies,ronald,w,rw,Ecology,ecology,1984,WaDa84Ec,462,p,51,-114,lo,field,ai,ai,i,i,Kogotus nonus,stonefly,Thienemaniella,Orthocladiinae,figure 3,abundance,density (no/container),temporal,na,28641,10,0,54.1667,8,8.3333,23.57013176,41.6667,8,10.4166,29.46259399,yosuke,0
1037,8,jjjjjjjj,932,Walde,sandra ,j,sj,Davies,ronald,w,rw,Ecology,ecology,1984,WaDa84Ec,462,p,51,-114,lo,field,ai,ai,i,i,Kogotus nonus,stonefly,Thienemaniella,Orthocladiinae,figure 3,abundance,density (no/container),temporal,na,28641,10,0,54.1667,8,8.3333,23.57013176,39.5833,8,6.25,17.67766953,yosuke,0
1038,8,kkkkkkkk,933,Walde,sandra ,j,sj,Davies,ronald,w,rw,Ecology,ecology,1984,WaDa84Ec,462,p,51,-114,lo,field,ai,ai,i,i,Kogotus nonus,stonefly,Corynoneura,Orthocladiinae,figure 3,abundance,density (no/container),temporal,na,28306,10,0,35.6522,8,6.0869,17.21635307,28.6957,8,2.6086,7.378234998,yosuke,0
1039,8,kkkkkkkk,934,Walde,sandra ,j,sj,Davies,ronald,w,rw,Ecology,ecology,1984,WaDa84Ec,462,p,51,-114,lo,field,ai,ai,i,i,Kogotus nonus,stonefly,Corynoneura,Orthocladiinae,figure 3,abundance,density (no/container),temporal,na,28671,10,0,48.6957,8,4.3478,12.29743545,43.4783,8,4.3478,12.29743545,yosuke,0
1040,8,kkkkkkkk,934,Walde,sandra ,j,sj,Davies,ronald,w,rw,Ecology,ecology,1984,WaDa84Ec,462,p,51,-114,lo,field,ai,ai,i,i,Kogotus nonus,stonefly,Corynoneura,Orthocladiinae,figure 3,abundance,density (no/container),temporal,na,28671,10,0,48.6957,8,4.3478,12.29743545,50.4348,8,5.2174,14.75703568,yosuke,0
1041,8,kkkkkkkk,934,Walde,sandra ,j,sj,Davies,ronald,w,rw,Ecology,ecology,1984,WaDa84Ec,462,p,51,-114,lo,field,ai,ai,i,i,Kogotus nonus,stonefly,Corynoneura,Orthocladiinae,figure 3,abundance,density (no/container),temporal,na,28671,10,0,48.6957,8,4.3478,12.29743545,28.6957,8,6.9565,19.67595329,yosuke,0
1042,8,kkkkkkkk,935,Walde,sandra ,j,sj,Davies,ronald,w,rw,Ecology,ecology,1984,WaDa84Ec,462,p,51,-114,lo,field,ai,ai,i,i,Kogotus nonus,stonefly,Corynoneura,Orthocladiinae,figure 3,abundance,density (no/container),temporal,na,28641,10,0,15.6522,8,3.4782,9.837835225,26.087,8,1.7391,4.918917613,yosuke,0
1043,8,kkkkkkkk,935,Walde,sandra ,j,sj,Davies,ronald,w,rw,Ecology,ecology,1984,WaDa84Ec,462,p,51,-114,lo,field,ai,ai,i,i,Kogotus nonus,stonefly,Corynoneura,Orthocladiinae,figure 3,abundance,density (no/container),temporal,na,28641,10,0,15.6522,8,3.4782,9.837835225,20,8,3.4783,9.838118068,yosuke,0
1044,8,llllllll,936,Walde,sandra ,j,sj,Davies,ronald,w,rw,Ecology,ecology,1984,WaDa84Ec,462,p,51,-114,lo,field,ai,ai,i,i,Kogotus nonus,stonefly,Stempellinella,Tanytarsini,figure 3,abundance,density (no/container),temporal,na,28306,10,0,29.1667,8,8.3333,23.57013176,31.25,8,6.25,17.67766953,yosuke,0
1045,8,llllllll,937,Walde,sandra ,j,sj,Davies,ronald,w,rw,Ecology,ecology,1984,WaDa84Ec,462,p,51,-114,lo,field,ai,ai,i,i,Kogotus nonus,stonefly,Stempellinella,Tanytarsini,figure 3,abundance,density (no/container),temporal,na,28671,10,0,33.3333,8,6.25,17.67766953,33.3333,8,6.25,17.67766953,yosuke,0
1046,8,llllllll,937,Walde,sandra ,j,sj,Davies,ronald,w,rw,Ecology,ecology,1984,WaDa84Ec,462,p,51,-114,lo,field,ai,ai,i,i,Kogotus nonus,stonefly,Stempellinella,Tanytarsini,figure 3,abundance,density (no/container),temporal,na,28671,10,0,33.3333,8,6.25,17.67766953,20.8333,8,6.25,17.67766953,yosuke,0
1047,8,llllllll,937,Walde,sandra ,j,sj,Davies,ronald,w,rw,Ecology,ecology,1984,WaDa84Ec,462,p,51,-114,lo,field,ai,ai,i,i,Kogotus nonus,stonefly,Stempellinella,Tanytarsini,figure 3,abundance,density (no/container),temporal,na,28671,10,0,33.3333,8,6.25,17.67766953,58.3333,8,14.5834,41.24808413,yosuke,0
1048,8,llllllll,938,Walde,sandra ,j,sj,Davies,ronald,w,rw,Ecology,ecology,1984,WaDa84Ec,462,p,51,-114,lo,field,ai,ai,i,i,Kogotus nonus,stonefly,Stempellinella,Tanytarsini,figure 3,abundance,density (no/container),temporal,na,28641,10,0,87.5,8,10.4167,29.46287683,95.8333,8,10.4167,29.46287683,yosuke,0
1049,8,llllllll,938,Walde,sandra ,j,sj,Davies,ronald,w,rw,Ecology,ecology,1984,WaDa84Ec,462,p,51,-114,lo,field,ai,ai,i,i,Kogotus nonus,stonefly,Stempellinella,Tanytarsini,figure 3,abundance,density (no/container),temporal,na,28641,10,0,87.5,8,10.4167,29.46287683,95.8333,8,18.7497,53.03216006,yosuke,0
1050,8,mmmmmmmm,939,Walde,sandra ,j,sj,Davies,ronald,w,rw,Ecology,ecology,1984,WaDa84Ec,462,p,51,-114,lo,field,ai,ai,i,i,Kogotus nonus,stonefly,other Orthocladiinae,Orthocladiinae,figure 3,abundance,density (no/container),temporal,na,28306,10,0,46.4789,8,16.9014,47.80437821,42.2535,8,12.6761,35.85342508,yosuke,0
1051,8,mmmmmmmm,940,Walde,sandra ,j,sj,Davies,ronald,w,rw,Ecology,ecology,1984,WaDa84Ec,462,p,51,-114,lo,field,ai,ai,i,i,Kogotus nonus,stonefly,other Orthocladiinae,Orthocladiinae,figure 3,abundance,density (no/container),temporal,na,28671,10,0,219.718,8,16.902,47.80607526,190.141,8,21.127,59.75617986,yosuke,0
1052,8,mmmmmmmm,940,Walde,sandra ,j,sj,Davies,ronald,w,rw,Ecology,ecology,1984,WaDa84Ec,462,p,51,-114,lo,field,ai,ai,i,i,Kogotus nonus,stonefly,other Orthocladiinae,Orthocladiinae,figure 3,abundance,density (no/container),temporal,na,28671,10,0,219.718,8,16.902,47.80607526,130.986,8,12.676,35.85314223,yosuke,0
1053,8,mmmmmmmm,940,Walde,sandra ,j,sj,Davies,ronald,w,rw,Ecology,ecology,1984,WaDa84Ec,462,p,51,-114,lo,field,ai,ai,i,i,Kogotus nonus,stonefly,other Orthocladiinae,Orthocladiinae,figure 3,abundance,density (no/container),temporal,na,28671,10,0,219.718,8,16.902,47.80607526,118.31,8,12.676,35.85314223,yosuke,0
1054,8,mmmmmmmm,941,Walde,sandra ,j,sj,Davies,ronald,w,rw,Ecology,ecology,1984,WaDa84Ec,462,p,51,-114,lo,field,ai,ai,i,i,Kogotus nonus,stonefly,other Orthocladiinae,Orthocladiinae,figure 3,abundance,density (no/container),temporal,na,28641,10,0,29.5775,8,12.676,35.85314223,25.3521,8,8.4507,23.9021891,yosuke,0
1055,8,mmmmmmmm,941,Walde,sandra ,j,sj,Davies,ronald,w,rw,Ecology,ecology,1984,WaDa84Ec,462,p,51,-114,lo,field,ai,ai,i,i,Kogotus nonus,stonefly,other Orthocladiinae,Orthocladiinae,figure 3,abundance,density (no/container),temporal,na,28641,10,0,29.5775,8,12.676,35.85314223,21.1268,8,4.2253,11.95095313,yosuke,0
1056,8,nnnnnnnn,942,Walde,sandra ,j,sj,Davies,ronald,w,rw,Ecology,ecology,1984,WaDa84Ec,462,p,51,-114,lo,field,ai,ai,i,i,Kogotus nonus,stonefly,Baetis tricaudatus,ephemenoptera,figure 3,abundance,density (no/container),temporal,na,28306,10,0,2.38298,8,0.29787,0.842503588,1.3617,8,0.29787,0.842503588,yosuke,0
1057,8,nnnnnnnn,943,Walde,sandra ,j,sj,Davies,ronald,w,rw,Ecology,ecology,1984,WaDa84Ec,462,p,51,-114,lo,field,ai,ai,i,i,Kogotus nonus,stonefly,Baetis tricaudatus,ephemenoptera,figure 3,abundance,density (no/container),temporal,na,28671,10,0,0.468085,8,0.170213,0.481435066,1.06383,8,0.42553,1.203580594,yosuke,0
1058,8,nnnnnnnn,943,Walde,sandra ,j,sj,Davies,ronald,w,rw,Ecology,ecology,1984,WaDa84Ec,462,p,51,-114,lo,field,ai,ai,i,i,Kogotus nonus,stonefly,Baetis tricaudatus,ephemenoptera,figure 3,abundance,density (no/container),temporal,na,28671,10,0,0.468085,8,0.170213,0.481435066,0.765957,8,0.468083,1.323938654,yosuke,0
1059,8,nnnnnnnn,943,Walde,sandra ,j,sj,Davies,ronald,w,rw,Ecology,ecology,1984,WaDa84Ec,462,p,51,-114,lo,field,ai,ai,i,i,Kogotus nonus,stonefly,Baetis tricaudatus,ephemenoptera,figure 3,abundance,density (no/container),temporal,na,28671,10,0,0.468085,8,0.170213,0.481435066,0.0851064,8,0.0425536,0.120359756,yosuke,0
1060,8,nnnnnnnn,944,Walde,sandra ,j,sj,Davies,ronald,w,rw,Ecology,ecology,1984,WaDa84Ec,462,p,51,-114,lo,field,ai,ai,i,i,Kogotus nonus,stonefly,Baetis tricaudatus,ephemenoptera,figure 3,abundance,density (no/container),temporal,na,28641,10,0,0.723404,8,0.170213,0.481435066,0.12766,8,0,0,yosuke,0
1061,8,nnnnnnnn,944,Walde,sandra ,j,sj,Davies,ronald,w,rw,Ecology,ecology,1984,WaDa84Ec,462,p,51,-114,lo,field,ai,ai,i,i,Kogotus nonus,stonefly,Baetis tricaudatus,ephemenoptera,figure 3,abundance,density (no/container),temporal,na,28641,10,0,0.723404,8,0.170213,0.481435066,0.680851,8,0.212766,0.601793126,yosuke,0
1062,8,oooooooo,945,Walde,sandra ,j,sj,Davies,ronald,w,rw,Ecology,ecology,1984,WaDa84Ec,462,p,51,-114,lo,field,ai,ai,i,i,Kogotus nonus,stonefly,Thienemaniella,Orthocladiinae,figure 3,abundance,density (no/container),species identity,na,Thienemaniella,10,0,106.25,8,6.25,17.67766953,29.1667,8,6.25,17.67766953,yosuke,0
1063,8,oooooooo,945,Walde,sandra ,j,sj,Davies,ronald,w,rw,Ecology,ecology,1984,WaDa84Ec,462,p,51,-114,lo,field,ai,ai,i,i,Kogotus nonus,stonefly,Thienemaniella,Orthocladiinae,figure 3,abundance,density (no/container),species identity,na,Thienemaniella,10,0,145.833,8,8.334,23.57211166,104.167,8,8.333,23.56928323,yosuke,0
1064,8,oooooooo,945,Walde,sandra ,j,sj,Davies,ronald,w,rw,Ecology,ecology,1984,WaDa84Ec,462,p,51,-114,lo,field,ai,ai,i,i,Kogotus nonus,stonefly,Thienemaniella,Orthocladiinae,figure 3,abundance,density (no/container),species identity,na,Thienemaniella,10,0,145.833,8,8.334,23.57211166,54.1667,8,10.4166,29.46259399,yosuke,0
1065,8,oooooooo,945,Walde,sandra ,j,sj,Davies,ronald,w,rw,Ecology,ecology,1984,WaDa84Ec,462,p,51,-114,lo,field,ai,ai,i,i,Kogotus nonus,stonefly,Thienemaniella,Orthocladiinae,figure 3,abundance,density (no/container),species identity,na,Thienemaniella,10,0,145.833,8,8.334,23.57211166,43.75,8,10.4167,29.46287683,yosuke,0
1066,8,oooooooo,945,Walde,sandra ,j,sj,Davies,ronald,w,rw,Ecology,ecology,1984,WaDa84Ec,462,p,51,-114,lo,field,ai,ai,i,i,Kogotus nonus,stonefly,Thienemaniella,Orthocladiinae,figure 3,abundance,density (no/container),species identity,na,Thienemaniella,10,0,54.1667,8,8.3333,23.57013176,41.6667,8,10.4166,29.46259399,yosuke,0
1067,8,oooooooo,945,Walde,sandra ,j,sj,Davies,ronald,w,rw,Ecology,ecology,1984,WaDa84Ec,462,p,51,-114,lo,field,ai,ai,i,i,Kogotus nonus,stonefly,Thienemaniella,Orthocladiinae,figure 3,abundance,density (no/container),species identity,na,Thienemaniella,10,0,54.1667,8,8.3333,23.57013176,39.5833,8,6.25,17.67766953,yosuke,0
1068,8,oooooooo,946,Walde,sandra ,j,sj,Davies,ronald,w,rw,Ecology,ecology,1984,WaDa84Ec,462,p,51,-114,lo,field,ai,ai,i,i,Kogotus nonus,stonefly,Corynoneura,Orthocladiinae,figure 3,abundance,density (no/container),species identity,na,Corynoneura,10,0,35.6522,8,6.0869,17.21635307,28.6957,8,2.6086,7.378234998,yosuke,0
1069,8,oooooooo,946,Walde,sandra ,j,sj,Davies,ronald,w,rw,Ecology,ecology,1984,WaDa84Ec,462,p,51,-114,lo,field,ai,ai,i,i,Kogotus nonus,stonefly,Corynoneura,Orthocladiinae,figure 3,abundance,density (no/container),species identity,na,Corynoneura,10,0,48.6957,8,4.3478,12.29743545,43.4783,8,4.3478,12.29743545,yosuke,0
1070,8,oooooooo,946,Walde,sandra ,j,sj,Davies,ronald,w,rw,Ecology,ecology,1984,WaDa84Ec,462,p,51,-114,lo,field,ai,ai,i,i,Kogotus nonus,stonefly,Corynoneura,Orthocladiinae,figure 3,abundance,density (no/container),species identity,na,Corynoneura,10,0,48.6957,8,4.3478,12.29743545,50.4348,8,5.2174,14.75703568,yosuke,0
1071,8,oooooooo,946,Walde,sandra ,j,sj,Davies,ronald,w,rw,Ecology,ecology,1984,WaDa84Ec,462,p,51,-114,lo,field,ai,ai,i,i,Kogotus nonus,stonefly,Corynoneura,Orthocladiinae,figure 3,abundance,density (no/container),species identity,na,Corynoneura,10,0,48.6957,8,4.3478,12.29743545,28.6957,8,6.9565,19.67595329,yosuke,0
1072,8,oooooooo,946,Walde,sandra ,j,sj,Davies,ronald,w,rw,Ecology,ecology,1984,WaDa84Ec,462,p,51,-114,lo,field,ai,ai,i,i,Kogotus nonus,stonefly,Corynoneura,Orthocladiinae,figure 3,abundance,density (no/container),species identity,na,Corynoneura,10,0,15.6522,8,3.4782,9.837835225,26.087,8,1.7391,4.918917613,yosuke,0
